YEAR,MONTH_NUMBER,MONTH,REPORT_PERIOD,NEIGHBOURHOOD,NEIGHBOURHOOD_ID,COMPLAINT,INITIATED_BY,STATUS,COUNT,LATITUDE,LONGITUDE
2016,1,JANUARY,Jan-16,Canora,4090,1,By-law Officer,Under Investigation,1,53.54619344,-113.5842146
2016,2,FEBRUARY,Feb-16,Central McDougall,1030,1,Citizen,Under Investigation,1,53.55328207,-113.5010679
2016,1,JANUARY,Jan-16,High Park,4200,1,Citizen,Under Investigation,2,53.55498578,-113.5841993
2016,2,FEBRUARY,Feb-16,Highlands,2330,1,Citizen,Under Investigation,1,53.56599859,-113.4301705
2016,2,FEBRUARY,Feb-16,Cloverdale,6070,1,Citizen,Under Investigation,1,53.53685805,-113.4740119
2016,2,FEBRUARY,Feb-16,Inglewood,3240,1,Citizen,Under Investigation,1,53.56460647,-113.5408522
2016,2,FEBRUARY,Feb-16,McQueen,3300,1,Citizen,Under Investigation,2,53.55493823,-113.5718425
2016,2,FEBRUARY,Feb-16,Glenwood,4180,1,Citizen,Under Investigation,2,53.53641656,-113.6027698
2016,2,FEBRUARY,Feb-16,Mayfield,4290,1,Citizen,Under Investigation,1,53.55501803,-113.5981702
2016,2,FEBRUARY,Feb-16,Allard,5458,1,By-law Officer,Under Investigation,1,53.40119279,-113.5266817
2016,2,FEBRUARY,Feb-16,Delwood,2230,1,By-law Officer,Under Investigation,1,53.59594894,-113.4551303
2016,2,FEBRUARY,Feb-16,Davies Industrial East,6160,1,Citizen,Under Investigation,1,53.50618932,-113.4331399
2016,2,FEBRUARY,Feb-16,Canora,4090,1,By-law Officer,Under Investigation,1,53.54619344,-113.5842146
2016,2,FEBRUARY,Feb-16,Alberta Avenue,1010,1,Citizen,Under Investigation,1,53.56848538,-113.4851192
2016,2,FEBRUARY,Feb-16,Rosslyn,3390,1,Citizen,Under Investigation,1,53.59575774,-113.5042872
2016,2,FEBRUARY,Feb-16,Terrace Heights,6730,1,Citizen,Under Investigation,1,53.54208074,-113.4378011
2016,2,FEBRUARY,Feb-16,Michaels Park,6480,1,Citizen,Under Investigation,1,53.47957489,-113.4462136
2016,2,FEBRUARY,Feb-16,Kennedale Industrial,2380,1,Citizen,Under Investigation,1,53.59084912,-113.4234005
2016,2,FEBRUARY,Feb-16,Brintnell,2110,1,Citizen,Under Investigation,1,53.6213944,-113.4071143
2016,2,FEBRUARY,Feb-16,Britannia Youngstown,4060,1,By-law Officer,Under Investigation,2,53.54629462,-113.6015104
2016,1,JANUARY,Jan-16,Forest Heights,6230,2,Citizen,Under Investigation,3,53.54453706,-113.45125
2016,2,FEBRUARY,Feb-16,Allendale,5010,1,Citizen,Under Investigation,1,53.502277,-113.5048211
2016,2,FEBRUARY,Feb-16,Strathearn,6710,1,By-law Officer,Under Investigation,2,53.53129198,-113.4640467
2016,2,FEBRUARY,Feb-16,Rural North East Horse Hill,2670,1,Citizen,Under Investigation,2,53.66378396,-113.3299066
2016,2,FEBRUARY,Feb-16,Evansdale,2260,1,Citizen,Under Investigation,1,53.61084111,-113.4795689
2016,1,JANUARY,Jan-16,Silver Berry,6442,1,Citizen,Under Investigation,1,53.46115897,-113.3814062
2016,2,FEBRUARY,Feb-16,Weinlos,6770,1,By-law Officer,Under Investigation,1,53.45990679,-113.413836
2016,2,FEBRUARY,Feb-16,Delton,1080,1,Citizen,Under Investigation,2,53.57904638,-113.4824494
2016,2,FEBRUARY,Feb-16,York,2720,1,Citizen,Under Investigation,2,53.60284342,-113.4302123
2016,2,FEBRUARY,Feb-16,Potter Greens,4710,1,Citizen,Under Investigation,1,53.5182899,-113.6726024
2016,2,FEBRUARY,Feb-16,Calder,3070,1,Citizen,Under Investigation,2,53.58805578,-113.5288721
2016,2,FEBRUARY,Feb-16,Pleasantview,5320,1,By-law Officer,Under Investigation,1,53.49317553,-113.5071314
2016,3,MARCH,Mar-16,Belmead,4040,1,Citizen,Under Investigation,1,53.52560296,-113.641015
2016,3,MARCH,Mar-16,Meyokumin,6460,1,By-law Officer,Under Investigation,1,53.45011313,-113.4272575
2016,3,MARCH,Mar-16,Mayfield,4290,1,Citizen,Under Investigation,1,53.55501803,-113.5981702
2016,3,MARCH,Mar-16,Strathcona,5480,1,Citizen,Under Investigation,2,53.52239019,-113.4909856
2016,1,JANUARY,Jan-16,Ritchie,6610,1,Citizen,Under Investigation,2,53.5132751,-113.4827421
2016,2,FEBRUARY,Feb-16,Spruce Avenue,1230,1,Citizen,Under Investigation,1,53.56463543,-113.4995016
2016,1,JANUARY,Jan-16,Evansdale,2260,1,Citizen,Under Investigation,1,53.61084111,-113.4795689
2016,1,JANUARY,Jan-16,Britannia Youngstown,4060,1,Citizen,Under Investigation,1,53.54629462,-113.6015104
2016,1,JANUARY,Jan-16,Oliver,1150,1,Citizen,Under Investigation,1,53.54198293,-113.5239939
2016,2,FEBRUARY,Feb-16,Thorncliff,4560,1,Citizen,Under Investigation,1,53.51669839,-113.6228278
2016,2,FEBRUARY,Feb-16,Bonnie Doon,6040,2,By-law Officer,Under Investigation,1,53.52533712,-113.4671114
2016,3,MARCH,Mar-16,Riverdale,1210,1,By-law Officer,Under Investigation,1,53.54410729,-113.4690109
